Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,"Hey Brother","True","Avicii",2013-09-13,255093,4,false,1280011281,2014-08-07T23:22:13Z,"edm","Universal Music AB",0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.014,4
spotify:track:5GayeBzzXIEl6fY0cP42Z1,"Addicted To You","True","Avicii",2013-09-13,148386,1,false,1280011281,2014-08-07T23:22:18Z,"edm","Universal Music AB",0.569,0.785,1,-4.057,0,0.0457,0.0505,0.00000112,0.086,0.303,128.031,4
spotify:track:1CKtxKqyFsFITCH4SpDrWj,"You Make Me","True","Avicii",2013-09-13,233346,1,false,1280011281,2014-08-07T23:22:20Z,"edm","Universal Music AB",0.586,0.727,6,-4.799,1,0.039,0.00247,0.0107,0.152,0.496,124.99,4
spotify:track:5QjJgPU8AJeickx34f7on6,"Levels - Radio Edit","Levels","Avicii",2011-01-01,199903,4,false,1280011281,2014-08-07T23:22:25Z,"edm","Interscope",0.605,0.873,1,-5.938,0,0.0344,0.0534,0.837,0.314,0.476,126.026,4
spotify:track:6sy3LkhNFjJWlaeSMNwQ62,"Counting Stars","Native","OneRepublic",2014-01-01,257840,74,false,1280011281,2014-08-07T23:22:42Z,"soft pop","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.115,0.474,122.013,4
spotify:track:5BJSZocnCeSNeYMj3iVqM7,"Love Runs Out","Native","OneRepublic",2014-01-01,224226,65,false,1280011281,2014-08-07T23:22:44Z,"soft pop","Mosley / Interscope",0.719,0.935,7,-3.752,1,0.0589,0.167,0,0.0974,0.737,120.022,4
spotify:track:4KANJH1baadr3U7XsVbM17,"Something I Need","Native","OneRepublic",2014-01-01,241266,48,false,1280011281,2014-08-07T23:22:51Z,"soft pop","Mosley / Interscope",0.682,0.601,7,-6.927,1,0.0307,0.164,0,0.119,0.62,98.96,4
spotify:track:5MsZIaCYY6Tsdph0LiB0hE,"Alone Together","Save Rock And Roll","Fall Out Boy",2013-04-12,203413,62,false,1280011281,2014-08-07T23:23:15Z,"emo,pop punk","Island Records",0.552,0.915,4,-3.713,1,0.056,0.00132,0.0000358,0.206,0.602,90.013,4
spotify:track:6RtPijgfPKROxEzTHNRiDp,"Rude","Don't Kill the Magic","MAGIC!",2014-06-25,224849,85,false,1280011281,2014-08-07T23:24:45Z,"","Latium Records/RCA Records",0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,4
spotify:track:1huvTbEYtgltjQRXzrNKGi,"Don't","x (Deluxe Edition)","Ed Sheeran",2014-06-21,219840,71,false,1280011281,2014-08-07T23:24:55Z,"soft pop","Atlantic Records UK",0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,4
spotify:track:7b71WsDLb8gG0cSyDTFAEW,"Summer","Summer","Calvin Harris",2014-04-30,224506,18,false,1280011281,2014-08-07T23:25:12Z,"edm","Columbia",0.603,0.861,4,-3.565,0,0.0325,0.0215,0.043,0.1,0.72,127.962,4
spotify:track:0tJGzJjUVlEsn8s3Mn32Jb,"Maps","Maps","Maroon 5",2014-06-16,189840,1,false,1280011281,2014-08-07T23:25:17Z,"pop","222 Records/Interscope Records",0.737,0.723,1,-5.51,0,0.0295,0.0179,0,0.0675,0.893,120.003,4
