Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0U8cNcMaGFTdEZPUpW2pgJ,Maanda Mannan Kaaviyam - Live at Terrace Jams,Kurangan Era,Kaber Vasuki,2019-08-31,160500,16,false,sanjnalnmurthi,2025-06-09T15:10:28Z,"tamil indie,tamil hip hop,indian indie,tamil pop",Green Bus Records,0.503,0.0991,4,-15.787,0,0.0369,0.894,0.00000172,0.514,0.258,75.826,4
spotify:track:0UDBaKFnQ1eI64cNpMZ8pR,Chuttum Vizhi,Kandukondain Kandukondain (Original Motion Picture Soundtrack),Hariharan;Bharathiar,2000-12-31,142053,28,false,sanjnalnmurthi,2025-04-03T15:16:59Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop",Saregama,0.269,0.0653,0,-19.886,1,0.038,0.886,0,0.0954,0.16,68.954,4
spotify:track:0UNQKpB23MBL2D2cjyIlE8,"Uyire Un Uyirena - From ""Zero""","Uyire Un Uyirena (From ""Zero"")",Nivas K Prasanna;Anirudh Ravichander,2016-02-17,284800,60,false,sanjnalnmurthi,2024-12-06T18:41:27Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",Think Music,0.476,0.564,2,-7.844,0,0.0298,0.00967,0.000065,0.11,0.267,149.883,4
spotify:track:0UZiICiIk4vTnHM9bkQVaM,Azhagiya Asura,Whistle (Original Motion Picture Soundtrack),D. Imman;Thamarai;Anitha Chandrasekar,2003-01-01,261760,0,false,sanjnalnmurthi,2024-02-15T17:05:01Z,"tamil pop,tamil dance,kollywood",Kosmik Music,0.752,0.49,2,-10.314,1,0.0811,0.292,0,0.022,0.681,77.994,4
spotify:track:0Ul2NGGDAybeXWU0RLnv83,Chinna Thamarai,Vettaikaaran (Original Motion Picture Soundtrack),Vijay Antony;Krishh;Suchitra;Viveka,2009-09-24,273840,62,false,sanjnalnmurthi,2023-12-12T11:58:44Z,"tamil dance,kollywood,tamil pop,telugu pop,tollywood",Think Music (India),0.807,0.843,1,-4.925,1,0.0387,0.135,0.00106,0.361,0.473,103.994,4
spotify:track:0V1hxNic8zcY27AZujnynr,Ninaikka Therintha,Anandha Jodhi,P. Susheela,1963-12-31,277520,37,false,sanjnalnmurthi,2024-12-06T18:40:18Z,"telugu pop,devotional,tamil pop,kannada pop,tollywood",Saregama India Ltd,0.497,0.487,6,-4.634,1,0.0293,0.684,0.00181,0.37,0.644,112.803,4
spotify:track:0VUpJnr5VJtuPNx00YXP1g,Kaarkuzhal Kadavaiye,VadaChennai (Original Motion Picture Soundtrack),Sriram Parthasarathy;Vijaynarain;Ananthu;Santhosh Narayanan;Pradeep Kumar;Vivek,2018-07-28,312378,60,false,sanjnalnmurthi,2023-11-30T14:48:01Z,"tamil pop,kollywood,tamil hip hop,tamil dance",Divo Tv Private Limited,0.696,0.501,4,-11.244,0,0.0831,0.306,0.0000205,0.0998,0.355,129.954,4
spotify:track:0Vt8uXauV5ptF470jaap6i,"Inayae (From ""Thadam"")","Inayae (From ""Thadam"") - Single",Sid Sriram;Padmalatha;Arun Raj,2018-05-12,214374,44,false,sanjnalnmurthi,2018-07-16T11:18:36Z,"tollywood,telugu pop,tamil pop,kollywood",Saregama,0.522,0.603,2,-5.995,1,0.0274,0.821,0.0000365,0.0789,0.545,91.994,4
spotify:track:0WFFbBHGafrw3YosomIoHG,Solla Maatten Po,Solla Maatten Po,Sam Vishal;Shivangi,2020-11-07,320833,0,false,sanjnalnmurthi,2024-12-06T18:40:18Z,"tamil indie,telugu pop,tollywood,tamil pop",MRT Music,0.561,0.574,0,-11.052,0,0.199,0.55,0.00013,0.234,0.799,98.044,4
spotify:track:0WGZNNJzKRZJrRr7aasepC,Vaathil Melle,Neram (Original Motion Picture Soundtrack),Rajesh Murugesan;Sachin Warrier,2013-05-03,280760,59,false,sanjnalnmurthi,2024-12-06T18:42:48Z,"mollywood,malayalam pop,tamil dance",Think Music,0.637,0.567,1,-7.323,1,0.027,0.104,0.000154,0.0572,0.556,103.971,4
