Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5jOi67yXzjpMdl6KFNWSIe,"Usure Pogudhey","Raavanan (Original Motion Picture Soundtrack)","A.R. Rahman;Karthik;Vairamuthu",2010-10-14,366506,67,false,kavya1287,2020-03-02T05:01:01Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.674,0.663,5,-8.886,1,0.0619,0.3,0.00000296,0.101,0.287,92.997,4
spotify:track:0gktq7d62pEiregKVHqEn3,"Elay Keechan (From ""Kadal"")","Biggest Hits of Rahman","A.R. Rahman;Madhan Karky",2014-01-03,371440,15,false,kavya1287,2020-03-02T05:01:20Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.733,0.6,7,-8.229,1,0.0279,0.816,0.0000894,0.106,0.86,94.003,4
spotify:track:2ZZ9eYW2XW0uUX1SI9ihkJ,"Idhazhin Oram (From ""3"") - The Innocence of Love","Dhanush Dhamaka","Anirudh Ravichander;Ajesh;Aishwarya R Dhanush",2014-07-09,204866,25,false,kavya1287,2020-03-02T05:01:33Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.65,0.783,7,-6.197,0,0.0377,0.22,0.00000371,0.182,0.302,109.959,4
spotify:track:32A0uFoMdlEB1tlnktxfV9,"Kurukku Siruthvalea ( From ""Mudhalvan"")","Isai Sangamam","Hariharan;Mahalakshmi Iyer",2013-06-21,398341,49,false,kavya1287,2020-03-02T05:01:43Z,"bhajan,tamil pop,ghazal,kollywood,devotional,telugu pop,bollywood,desi","Five Star Audio",0.69,0.518,11,-8.843,0,0.0845,0.17,0.00000177,0.382,0.746,76.995,4
spotify:track:1yAzGEbVdyAO1RG5m1KjWJ,"Adiye","Kadal (Original Motion Picture Soundtrack)","A.R. Rahman;Sid Sriram;Maria Roe Vincent;Madhan Karky",2012-12-14,301973,48,false,kavya1287,2020-03-02T05:01:51Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,tollywood,telugu pop,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.387,0.519,2,-5.684,1,0.079,0.411,0,0.0843,0.166,45.989,4
spotify:track:468DmIR7WVHAaZZXm4Zbpv,"Enakke Enakkaa","Jeans (Original Motion Picture Soundtrack)","Unnikrishnan;S.P. Pallavi;Vairamuthu",1998-06-27,429115,62,false,kavya1287,2020-03-02T05:02:12Z,"tamil pop,kollywood,telugu pop,tamil dance","New Music",0.579,0.794,11,-7.865,0,0.176,0.0649,0.00000155,0.0779,0.675,176.092,4
spotify:track:76JxauQ8isYkpbFXRzRQGX,"Yennai Arindhaal","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj;Devan Ekambaram;Mark Thomas;Abhishek",2015-01-04,346294,52,false,kavya1287,2020-03-02T05:02:22Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.742,0.687,2,-8.646,1,0.0386,0.000459,0.135,0.7,0.0985,116.014,4
spotify:track:5ich0wSxDxMryEjwZo6XzG,"Mazhai Vara Pogudhae","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj;Karthik;Emcee Jesz;Thamarai",2015-01-04,342547,63,false,kavya1287,2020-03-02T05:02:28Z,"tamil pop,kollywood,tamil dance,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,tamil hip hop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.835,0.739,11,-5.832,0,0.0448,0.164,0,0.0812,0.675,111.986,4
spotify:track:00bHxCcteaAJhU5WiP1mtf,"Unakkenna Venum Sollu","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj;Benny Dayal;Mahathi;Thamarai",2015-01-04,308242,58,false,kavya1287,2020-03-02T05:02:35Z,"tamil pop,kollywood,tamil dance,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.715,0.497,4,-9.914,1,0.0371,0.472,0,0.116,0.396,142.499,3
spotify:track:7rsUXVEqWZ8Jq2Yud30bVl,"Maya Bazaar","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj;Aalaap Raju;Priya Subramanian;Velmurugan;Krishna Iyer",2015-01-04,257785,32,false,kavya1287,2020-03-02T05:02:42Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.598,0.545,2,-7.512,1,0.0831,0.301,0.000214,0.393,0.476,118.716,4
spotify:track:23bpCCVsTUKviTEfoy4tbM,"Idhayathai Yedho Ondru","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj;Chinmayi;Thamarai",2015-01-04,235391,58,false,kavya1287,2020-03-02T05:02:48Z,"tamil pop,kollywood,tamil dance,tollywood,marathi pop,telugu pop,bollywood","Sony Music Entertainment India Pvt. Ltd.",0.721,0.496,4,-8.063,1,0.0508,0.845,0,0.11,0.217,131.969,3
